[rosmaster.main][INFO] 2020-07-30 02:48:46,464: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-30 02:48:46,465: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-30 02:48:46,467: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-07-30 02:48:46,468: Master initialized: port[11311], uri[http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 02:48:46,468: Started XML-RPC server [http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 02:48:46,468: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-30 02:48:46,506: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:46,509: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__37123] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:46,628: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:46,629: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:46,813: +SERVICE [/rosout/get_loggers] /rosout http://ubiquityrobot.local:38627/
[rosmaster.master][INFO] 2020-07-30 02:48:46,815: +SERVICE [/rosout/set_logger_level] /rosout http://ubiquityrobot.local:38627/
[rosmaster.master][INFO] 2020-07-30 02:48:46,819: +PUB [/rosout_agg] /rosout http://ubiquityrobot.local:38627/
[rosmaster.master][INFO] 2020-07-30 02:48:46,828: +SUB [/rosout] /rosout http://ubiquityrobot.local:38627/
[rosmaster.master][INFO] 2020-07-30 02:48:49,146: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__44881] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:49,165: +PARAM [/rosbridge_ws/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:49,166: +PARAM [/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:49,166: +PARAM [/rosbridge_wss/rosbridge_websocket/certfile] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:49,166: +PARAM [/teleop_twist_joy/enable_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:49,166: +PARAM [/teleop_twist_joy/axis_linear] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:49,167: +PARAM [/teleop_twist_joy/enable_turbo_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:48:49,167: +PARAM [/rosbridge_wss/rosbridge_websocket/topics_glob] by /roslaunch
