[rosmaster.main][INFO] 2020-07-30 02:29:16,617: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-30 02:29:16,617: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-30 02:29:16,619: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-07-30 02:29:16,620: Master initialized: port[11311], uri[http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 02:29:16,619: Started XML-RPC server [http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 02:29:16,620: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-30 02:29:16,643: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:16,646: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__41951] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:16,743: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:16,743: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:16,960: +SERVICE [/rosout/get_loggers] /rosout http://ubiquityrobot.local:36897/
[rosmaster.master][INFO] 2020-07-30 02:29:16,962: +SERVICE [/rosout/set_logger_level] /rosout http://ubiquityrobot.local:36897/
[rosmaster.master][INFO] 2020-07-30 02:29:16,975: +PUB [/rosout_agg] /rosout http://ubiquityrobot.local:36897/
[rosmaster.master][INFO] 2020-07-30 02:29:16,994: +SUB [/rosout] /rosout http://ubiquityrobot.local:36897/
[rosmaster.master][INFO] 2020-07-30 02:29:19,043: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__38459] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,058: +PARAM [/rosbridge_ws/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,059: +PARAM [/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,059: +PARAM [/rosbridge_wss/rosbridge_websocket/certfile] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,059: +PARAM [/teleop_twist_joy/enable_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,060: +PARAM [/teleop_twist_joy/axis_linear] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,060: +PARAM [/teleop_twist_joy/enable_turbo_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,060: +PARAM [/rosbridge_wss/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 02:29:19,060: +PARAM [/rosbridge_ws/rosbridge_websocket/max_message_size] by /roslaunch
