[rosmaster.main][INFO] 2020-07-30 17:17:14,183: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-30 17:17:14,183: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-30 17:17:14,185: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-07-30 17:17:14,186: Master initialized: port[11311], uri[http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 17:17:14,185: Started XML-RPC server [http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 17:17:14,186: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-30 17:17:14,202: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:14,205: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__35319] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:14,303: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:14,303: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:14,480: +SERVICE [/rosout/get_loggers] /rosout http://ubiquityrobot.local:35929/
[rosmaster.master][INFO] 2020-07-30 17:17:14,482: +SERVICE [/rosout/set_logger_level] /rosout http://ubiquityrobot.local:35929/
[rosmaster.master][INFO] 2020-07-30 17:17:14,488: +PUB [/rosout_agg] /rosout http://ubiquityrobot.local:35929/
[rosmaster.master][INFO] 2020-07-30 17:17:14,500: +SUB [/rosout] /rosout http://ubiquityrobot.local:35929/
[rosmaster.master][INFO] 2020-07-30 17:17:16,521: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__41909] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,540: +PARAM [/rosbridge_ws/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,540: +PARAM [/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,541: +PARAM [/rosbridge_wss/rosbridge_websocket/certfile] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,541: +PARAM [/teleop_twist_joy/enable_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,541: +PARAM [/teleop_twist_joy/axis_linear] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,541: +PARAM [/teleop_twist_joy/enable_turbo_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,541: +PARAM [/rosbridge_wss/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,542: +PARAM [/rosbridge_ws/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,542: +PARAM [/rosbridge_wss/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,542: +PARAM [/rosbridge_ws/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,542: +PARAM [/teleop_twist_joy/scale_linear_turbo] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,543: +PARAM [/rosbridge_wss/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,543: +PARAM [/rosbridge_ws/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,543: +PARAM [/rosbridge_ws/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,543: +PARAM [/rosbridge_ws/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,543: +PARAM [/teleop_twist_joy/scale_linear] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:17:16,544: +PARAM [/rosbridge_wss/rosbridge_websocket/retry_startup_delay] by /roslaunch
