[rosmaster.main][INFO] 2020-07-30 17:26:19,999: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-30 17:26:20,000: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-30 17:26:20,002: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-07-30 17:26:20,003: Master initialized: port[11311], uri[http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 17:26:20,002: Started XML-RPC server [http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 17:26:20,003: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-30 17:26:20,041: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:20,045: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__44275] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:20,181: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:20,181: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:20,369: +SERVICE [/rosout/get_loggers] /rosout http://ubiquityrobot.local:40103/
[rosmaster.master][INFO] 2020-07-30 17:26:20,371: +SERVICE [/rosout/set_logger_level] /rosout http://ubiquityrobot.local:40103/
[rosmaster.master][INFO] 2020-07-30 17:26:20,375: +PUB [/rosout_agg] /rosout http://ubiquityrobot.local:40103/
[rosmaster.master][INFO] 2020-07-30 17:26:20,385: +SUB [/rosout] /rosout http://ubiquityrobot.local:40103/
[rosmaster.master][INFO] 2020-07-30 17:26:22,173: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__36727] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:22,192: +PARAM [/rosbridge_ws/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:22,193: +PARAM [/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:22,193: +PARAM [/rosbridge_wss/rosbridge_websocket/certfile] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 17:26:22,193: +PARAM [/teleop_twist_joy/enable_button] by /roslaunch
